r,y,TotalDiscountedCost
"Region1",2018,83841.5837086492
"Region1",2019,85339.8015068482
"Region1",2020,82487.198145367
"Region1",2021,75177.9982326373
"Region1",2022,70198.2402593246
"Region1",2023,66313.8416741135
"Region1",2024,62716.0678692637
"Region1",2025,56510.7064798599
"Region1",2026,52678.6149509075
"Region1",2027,50563.5823036883
"Region1",2028,48176.9987287629
"Region1",2029,46686.169508082
"Region1",2030,43762.3289711992
"Region1",2031,38853.5891147865
"Region1",2032,35894.0151059346
"Region1",2033,33690.6464224397
"Region1",2034,31617.617277908
"Region1",2035,29784.5932311476
