r,y,TotalDiscountedCost
"Region1",2018,83512.5521225
"Region1",2019,80671.6297523848
"Region1",2020,80369.9400580831
"Region1",2021,80579.2056620644
"Region1",2022,78726.0870865998
"Region1",2023,76740.6318717602
"Region1",2024,75593.4502133077
"Region1",2025,68128.6076889158
"Region1",2026,64800.0209126686
"Region1",2027,63858.2477694479
"Region1",2028,60566.4637763034
"Region1",2029,60798.9905867916
"Region1",2030,58640.4648582301
"Region1",2031,56538.8204895201
"Region1",2032,55298.4368734227
"Region1",2033,53088.66903039
"Region1",2034,50860.6370672899
"Region1",2035,48688.8847633228
